,0.01,0.05,0.1,0.5
MSE,0.005779178279613575,0.0021374120893611352,0.001583050219864473,0.0022798248867120924
SSIM,0.43676265210611764,0.6654226492442583,0.7850815103364622,0.7496396225149666
PSNR,28.4019389927408,32.721717298648244,34.025652989140774,32.44158501193868
