Loaded summary from lodopab_out/summary.json
IMG_SIZE=362, NUM_ANGLES=1000, DET_COUNT=513, PHI=[-1.0471975511965976, 1.0471975511965976]
BETA (mean y_diff_norms) = 8.358424e-01
[init=tv | nsn] epoch 039/50 | train=0.000388 | val=0.000451
[init=tv | nsn] epoch 040/50 | train=0.000386 | val=0.000451
[init=tv | nsn] epoch 041/50 | train=0.000385 | val=0.000451
[init=tv | nsn] epoch 042/50 | train=0.000384 | val=0.000449
[init=tv | nsn] epoch 043/50 | train=0.000383 | val=0.000451
[init=tv | nsn] epoch 044/50 | train=0.000382 | val=0.000451
[init=tv | nsn] epoch 045/50 | train=0.000381 | val=0.000451
[init=tv | nsn] epoch 046/50 | train=0.000379 | val=0.000450
[init=tv | nsn] epoch 047/50 | train=0.000379 | val=0.000449
[init=tv | nsn] epoch 048/50 | train=0.000378 | val=0.000450
[init=tv | nsn] epoch 049/50 | train=0.000377 | val=0.000453
[init=tv | nsn] epoch 050/50 | train=0.000377 | val=0.000449
[init=tv | nsn] best val=0.000449 saved to runs_lodopab/init_tv/checkpoints/nsn_best.pt
[init=tv | nsn] example saved to runs_lodopab/init_tv/examples/nsn_example.png
[init=tv | dpnsn] epoch 001/50 | train=0.001210 | val=0.000949
[init=tv | dpnsn] epoch 002/50 | train=0.000824 | val=0.000730
[init=tv | dpnsn] epoch 003/50 | train=0.000660 | val=0.000593
[init=tv | dpnsn] epoch 004/50 | train=0.000557 | val=0.000532
[init=tv | dpnsn] epoch 005/50 | train=0.000500 | val=0.000486
[init=tv | dpnsn] epoch 006/50 | train=0.000467 | val=0.000451
[init=tv | dpnsn] epoch 007/50 | train=0.000437 | val=0.000428
[init=tv | dpnsn] epoch 008/50 | train=0.000417 | val=0.000411
[init=tv | dpnsn] epoch 009/50 | train=0.000403 | val=0.000401
[init=tv | dpnsn] epoch 010/50 | train=0.000387 | val=0.000389
[init=tv | dpnsn] epoch 011/50 | train=0.000375 | val=0.000383
[init=tv | dpnsn] epoch 012/50 | train=0.000371 | val=0.000377
[init=tv | dpnsn] epoch 013/50 | train=0.000358 | val=0.000369
[init=tv | dpnsn] epoch 014/50 | train=0.000349 | val=0.000365
[init=tv | dpnsn] epoch 015/50 | train=0.000343 | val=0.000362
[init=tv | dpnsn] epoch 016/50 | train=0.000334 | val=0.000354
[init=tv | dpnsn] epoch 017/50 | train=0.000328 | val=0.000351
[init=tv | dpnsn] epoch 018/50 | train=0.000322 | val=0.000349
[init=tv | dpnsn] epoch 019/50 | train=0.000317 | val=0.000344
[init=tv | dpnsn] epoch 020/50 | train=0.000312 | val=0.000342
[init=tv | dpnsn] epoch 021/50 | train=0.000308 | val=0.000343
[init=tv | dpnsn] epoch 022/50 | train=0.000303 | val=0.000338
